"state","temp1992","temp1993","temp1994","temp1995","temp1996","temp1997","temp1998","temp1999","temp2000","temp2001","temp2002","temp2003","temp2004","temp2005","temp2006","temp2007","temp2008","temp2009","temp2010","temp2011"
"MA",57.5387012621462,58.8180970610995,59.2768490037889,59.4236904059023,58.3361320393564,58.9051712308292,61.1237984780801,61.7647586493622,58.3235763515742,60.9772726064688,60.3190900420522,57.8691046335453,58.0342474748589,59.1291400904237,60.2887523337196,59.3275947501708,59.5309550940617,58.1672204479828,61.1056993237686,60.5127697278368
"MD",62.542285918888,64.7826487051298,63.9668156012882,64.454857578569,63.0253755814838,64.5457582590025,67.4668578374608,66.6890128323172,64.7600752511068,66.3460736142495,65.7922872830148,62.9185374380115,65.3658286669506,65.1462420494258,66.9683095256267,65.9538443367938,65.4827365152522,64.3016958097271,65.6043581585338,65.9261802992568
"ME",51.0380488263185,52.1339131161994,52.0439125454458,52.6694649595265,51.8064451480879,51.4173466918719,54.4229529438926,55.3594364057585,51.988530211061,54.5707328725378,52.9551298306634,51.7548855903659,51.7683737606628,53.2083756750322,53.9372955959914,52.4703576541773,52.6402738075026,51.9534867499387,55.0630837378053,53.1208411179352
"MI",53.0855128208832,53.2924906193906,54.7060053930476,54.2183292336594,52.3787882329821,53.481723312675,58.4670448615639,57.0162572947654,55.288964139426,56.6816648730524,55.5761302414279,54.4828048280565,54.3778309670451,55.9677322313223,56.8217634640253,56.2367952634588,54.2479821604326,53.5902844093401,56.9354059433852,55.4078042108307
"MN",52.1380386058264,50.4623966903877,52.8062603682807,51.7288630410241,49.686020404861,52.0419992357043,56.2165166652045,55.2891493901533,53.6143742362016,53.8291514397914,53.628055718208,53.6565772260415,53.0618608658937,54.2861747962763,55.6767517251842,54.1519007502227,50.3641176698873,50.9408531235,53.8007094197754,53.1364442826353
"MO",65.3329392821427,63.1876386657178,65.7597879658126,65.2839041968959,63.5008831775069,63.763391934675,67.0699552847063,67.6439587798273,66.079033873163,66.6255276586879,66.3113872961681,65.0461403693118,65.4391984926753,67.202393209534,68.0000590779816,67.115468216739,64.0025408324732,64.117921700608,65.7992508534631,66.0867080763985
"MS",73.8075150753164,73.7812701809977,74.3555610141828,75.157778885593,74.3240188470114,73.5399862952241,76.7007176190228,77.2061942268479,76.0815714336649,74.957620182683,74.483797900247,74.3534353853255,74.6650656347094,75.719638232272,76.7151384990819,76.8859604556611,75.0095749451204,73.9674113510865,75.5623793033989,75.4013014553263
"MT",55.6022108576866,51.4373771972447,55.426148683429,53.2285932773041,51.1709019008673,53.6594371207233,55.1051658253399,55.7869010510284,54.1721881811431,55.7855099140306,53.0905136146242,55.2856231770544,54.2801946471596,54.6351276785231,56.155790759881,56.089648312232,53.4165355673185,52.9406556883565,53.0741270556965,52.7073438711238
"NC",68.6732759924255,69.9211961989901,69.9257655520234,69.2992797532017,68.2846213249051,69.0595916602044,71.4343506293605,70.8593617421568,69.347766611269,70.535572670112,70.6668894468305,68.7344378701556,69.3420265475946,69.6225602561707,70.6751118531869,71.7897063298788,69.9934749646262,68.7270820247168,69.4508834357463,71.0595659096525
"ND",53.2256049846962,49.9933570791343,51.8335839003587,50.8191380654219,47.7839187413913,52.562382502668,54.0175366767793,54.5028968185838,52.7646212103749,54.26780414502,52.8327256935252,52.9845247059369,52.4303140859953,53.9981158949518,56.1958052982815,54.4442190852396,51.6057057232484,49.0927724146365,51.4864248324066,50.6094243444202
